Código,Unidade Curricular,Cursos,Tipo,Época,Nome,Requer inscrição prévia,Período de Inscrição,Data,Salas,Estado de pedido de sala,Capacidade Salas,Nº alunos previsto,Lugares
L5408,Cultura e Sociedade,"9240 - LS, 8109 - LS-PL",Exame,1.ª Época,Exame - 1.ª Época,Não,-,2023/01/06 18:30 - 21:30,,,0,154,-154
03605,Inteligência Artificial Simbólica para Ciência de Dados,"0322 - LCD, 0324 - LCD-PL",Exame,2.ª Época,Exame - 2.ª Época,Não,-,2023/01/24 09:00 - 12:00,,,0,79,-79
03292,Empreendedorismo em Media,0277 - GNM,Exame,2.ª Época,Exame - 2.ª Época,Não,-,2023/01/25 18:30 - 21:30,,,0,35,-35
L0605,Fiscalidade,"8029 - LFC, 9147 - LG",Exame,2.ª Época,Exame - 2.ª Época,Não,-,2023/01/24 11:30 - 14:30,,,0,159,-159
02399,Psicologia das Organizações e do Trabalho,"9081 - LE, 9219 - LP",Exame,2.ª Época,Exame - 2.ª Época,Não,-,2023/01/25 11:30 - 14:30,,,0,125,-125
03732,Investimentos e Mercados Financeiros,"9189 - LIGE, 8366 - LIGE-PL",Exame,2.ª Época,Exame - 2.ª Época,Não,-,2023/01/25 08:00 - 11:00,,,0,173,-173
04183,Seminário em Estudos Internacionais,0366 - DEInt,Exame,1.ª Época,Exame - 1.ª Época (1) ,Não,-,2023/01/13 18:30 - 21:30,,,0,24,-24
00251,Finanças Empresariais (I),B24 - MF,Exame,2.ª Época,Exame - 2.ª Época,Não,-,2023/01/13 08:00 - 11:00,,,0,51,-51
02406,Seminário de Projeto de Investigação em Gestão Internacional (6 Ects),B42 - MGI,Exame,2.ª Época,Exame - 2.ª Época,Não,-,2022/12/21 08:00 - 11:00,,,0,39,-39
03727,Agentes Autónomos,"9119 - LEI, 9885 - LEI-PL",Exame,2.ª Época,Exame - 2.ª Época,Não,-,2023/01/24 15:00 - 18:00,,,0,141,-141
01703,Seminário de Projecto em Ciências da Comunicação,083 - DCCo,Exame,1.ª Época,Entrega do projeto de tese (2º draft),Não,-,2023/01/27 18:30 - 21:30,,,0,25,-25
03673,Metodologias e Tecnologias para Ciência de Dados,0329 - MCD,Exame,2.ª Época,Exame - 2.ª Época,Não,-,2023/01/09 18:00 - 21:00,,,0,37,-37
02395,Mercado da Arte: Estruturas e Dinâmicas,0176 - MMA,Exame,1.ª Época,1ª Época - Exame,Não,-,2023/01/20 18:00 - 20:00,C5.06,Resolvido,35,35,0
03956,Seminário de Projecto em Ciência Política e Relações Internacionais,082 - DCP,Exame,1.ª Época,Entrega de trabalho final - 1.º Semestre,Não,-,2023/01/13 18:30 - 21:30,,,0,17,-17
00422,Gestão de Recursos Humanos Internacional,B42 - MGI,Exame,1.ª Época,Exame - 1.ª Época,Não,-,2022/11/11 09:00 - 12:00,Auditório B1.04,Resolvido,96,47,49
03644,Estados e Mercados na Teoria Económica,0326 - EP,Exame,1.ª Época,Exame - 1.ª Época,Não,-,2023/01/09 15:00 - 18:00,,,0,33,-33
03548,Gestão de Projetos em Ação Humanitária,0313 - CIIBS,Exame,1.ª Época,Exame - 1.ª Época,Não,-,2022/11/05 18:30 - 21:30,,,0,42,-42
L5242,Estatística e Análise de Dados III,9219 - LP,Teste,Época Normal,Exame Prático 2ª Época (SPSS),Não,-,2023/01/23 11:00 - 13:00,D1.09,Resolvido,45,108,-63
01977,Contabilidade e Finanças para Organizações Culturais,"0313 - CIIBS, 0177 - MEECult, 0321 - MEGC, 0176 - MMA",Exame,2.ª Época,Exame - 2.ª Época,Não,-,2023/01/27 15:00 - 18:00,,,0,40,-40
03544,Política Internacional e Geopolítica,0344 - MAH,Exame,2.ª Época,Exame - 2.ª Época,Não,-,2023/01/27 18:30 - 21:30,,,0,53,-53
02870,Text Mining,B57 - MSIAD,Teste,Época Normal,Teste final,Não,-,2022/12/12 19:30 - 21:00,D1.09,Resolvido,45,41,4
L5026,Culturas: Identificações e Diferenciações,9448 - LA,Exame,2.ª Época,Exame - 2.ª Época,Não,-,2023/01/23 08:00 - 11:00,,,0,49,-49
03594,Estatística Computacional,"0322 - LCD, 0324 - LCD-PL",Exame,2.ª Época,Exame - 2.ª Época,Não,-,2023/01/18 18:00 - 21:00,,,0,95,-95
01772,Métodos de Inquirição Online,0310 - CIESPP,Exame,2.ª Época,Exame - 2.ª Época,Não,-,2023/01/24 18:30 - 21:30,,,0,50,-50
L5321,História e Cultura Portuguesa,0310 - CIESPP,Teste,Época Normal,Avaliação Intermédia,Não,-,2022/12/16 09:30 - 12:30,,,0,94,-94
03640,A Constituição Social da Economia,0326 - EP,Exame,1.ª Época,Exame - 1.ª Época,Não,-,2023/01/06 15:00 - 18:00,,,0,39,-39
M8345,Gestão de Marcas,B55 - MM,Exame,2.ª Época,2nd Sitting / 2ª Época,Não,-,2023/01/11 08:00 - 11:00,2E06,Resolvido,25,5,20
M9211,Estratégia e Controlo de Gestão,BPG001 - PGCGP,Teste,Época Normal,Teste,Não,-,2022/10/18 19:00 - 21:00,,,0,12,-12
04029,Seminário de Investigação em Economia Monetária e Financeira I,B114 - MEMF,Exame,2.ª Época,Exame - 2.ª Época,Não,-,2023/01/27 18:30 - 21:30,,,0,42,-42
M8492,Contabilidade Financeira Avançada (2.º Ciclo - Ch),"B27 - MC, 0380 - CCG",Exame,1.ª Época,Exame - 1.ª Época,Não,-,2022/12/12 15:00 - 18:00,,,0,39,-39
L0919,Sociologia do Direito,0310 - CIESPP,Exame,2.ª Época,Exame - 2.ª Época,Não,-,2023/01/20 08:00 - 11:00,,,0,49,-49
00529,"Eleições, Partidos e Representação Política","0294 - ACP, B31 - MCP",Exame,2.ª Época,Exame - 2.ª Época,Não,-,2023/01/27 15:00 - 18:00,,,0,53,-53
01705,Análise e Desenho de Políticas Públicas,"032 - DPP, 012 - MPP",Exame,1.ª Época,Entrega de trabalho (1º prazo),Não,-,2023/01/11 18:30 - 21:30,,,0,66,-66
L2101,Electromagnetismo,9098 - LETI,Teste,Época Normal,Frequência,Não,-,2022/11/04 09:30 - 11:00,Auditório B1.03,Resolvido,102,78,24
L5103,Teoria da Computação,"9119 - LEI, 9885 - LEI-PL",Exame,Época Especial,Exame Época Especial,Não,-,2023/07/13 11:30 - 14:30,,Resolvido,0,135,-135
02892,Sistemas de Recursos Humanos e Gestão de Recompensas,0219 - MGRHCO,Exame,Época Especial,Special Evaluation Season | Época Especial,Não,-,2023/07/14 18:30 - 21:30,,Resolvido,0,10,-10
03754,Arquitetura e Desenho de Software,B104 - MEI,Exame,2.ª Época,Exame - 2.ª Época,Não,-,2023/01/24 18:30 - 21:30,,,0,77,-77
03843,Análise de Dados em Gestão de Recursos Humanos I,9157 - LGRH,Exame,2.ª Época,Exame - 2.ª Época,Não,-,2023/01/26 08:00 - 11:00,,,0,79,-79
L0101,Matemática I,9081 - LE,Exame,2.ª Época,Exame - 2.ª Época,Não,-,2023/01/27 08:00 - 11:00,,,0,110,-110
M9258,Gestão Fiscal das Empresas,BPG001 - PGCGP,Teste,Época Normal,Teste,Não,-,2023/02/07 19:00 - 21:00,,,0,12,-12
01745,"Cidade, Migrações e Diversidade",080 - MEU,Exame,2.ª Época,Exame - 2.ª Época,Não,-,2023/01/25 18:30 - 21:30,,,0,2,-2
M8406,Sistemas e Redes de Comunicação para Móveis Avançados,B103 - METI,Exame,2.ª Época,Exame - 2.ª Época,Não,-,2023/01/24 18:30 - 21:30,,,0,51,-51
03840,Gestão Urbana (2020),9257 - MIA,Exame,1.ª Época,Exame - 1.ª Época,Não,-,2023/01/09 11:30 - 14:30,,,0,43,-43
03619,Fundamentos de Gestão (6ects),0176 - MMA,Exame,1.ª Época,1ª Época - Exame,Não,-,2023/01/13 18:00 - 20:30,C6.10,Resolvido,40,34,6
M7403,Psicologia Comunitária,"0381 - PGDCom, 0210 - MPCPCJR, B116 - MPSS",Exame,2.ª Época,Exame - 2.ª Época,Não,-,2023/01/26 15:00 - 18:00,,,0,69,-69
04047,Seminário Teórico em Estudos Africanos I (2021),B411 - DEA,Exame,1.ª Época,Exame - 1.ª Época,Não,-,2023/01/05 18:30 - 21:30,,,0,10,-10
L0430,Introdução à Psicologia Social,8014 - LSS-PL,Exame,1.ª Época,Exame - 1.ª Época,Não,-,2023/01/13 18:30 - 21:30,,,0,0,0
02465,Gestão de Benefícios,0314 - PGGPP,Teste,Época Normal,Teste de Avaliação,Não,-,2022/12/20 19:00 - 21:00,,,0,52,-52
02050,Responsabilidade na Administração Pública,013 - MAP,Exame,2.ª Época,Exame - 2.ª Época,Não,-,2023/01/23 18:30 - 21:30,,,0,51,-51
03753,Animação e Controlo de Personagens Virtuais,0312 - CIISTA,Exame,2.ª Época,Exame - 2.ª Época,Não,-,2023/01/26 11:30 - 14:30,,,0,8,-8
M8558,Métodos Quantitativos para as Finanças,B24 - MF,Exame,1.ª Época,Exame - 1.ª Época,Não,-,2022/12/12 15:00 - 18:00,,,0,56,-56
03562,Gestão de Stress,CT01 - CT,Exame,1.ª Época,Exame - 1.ª Época,Não,-,2023/01/02 08:00 - 11:00,,,0,112,-112
03584,Fundamentos de Álgebra Linear,"0322 - LCD, 0324 - LCD-PL",Exame,1.ª Época,Exame - 1.ª Época,Não,-,2022/11/04 18:00 - 21:00,,,0,123,-123
L0138,Investigação Operacional I,L030 - LGIL,Exame,2.ª Época,Exame - 2.ª Época,Não,-,2023/01/26 11:30 - 14:30,,,0,44,-44
04005,Seminário em Ciência Política e Relações Internacionais,082 - DCP,Exame,1.ª Época,Entrega de trabalho - 1.º Semestre (1.º Prazo),Não,-,2023/01/12 18:30 - 21:30,,,0,17,-17
01696,Diversidade e Relações Interculturais em Contexto Escolar,0338 - PMGIDS,Exame,1.ª Época,Exame - 1.ª Época,Não,-,2023/01/04 15:00 - 18:00,,,0,26,-26
03734,Análise de Dados Multivariada,"9189 - LIGE, 8366 - LIGE-PL",Exame,2.ª Época,Exame - 2.ª Época,Não,-,2023/01/27 11:30 - 14:30,,,0,115,-115
00710,Introdução à Investigação em Ciências e Tecnologias de Informação,"0110 - PGIAO, B15 - MGSI",Exame,1.ª Época,Exame - 1.ª Época,Não,-,2023/01/19 18:30 - 21:30,,,0,60,-60
03845,Análise de Dados em Gestão de Recursos Humanos III,9157 - LGRH,Exame,1.ª Época,Exame - 1.ª Época (2) ,Não,-,2023/01/11 11:30 - 14:30,,,0,48,-48
M8263,História Oral,"0310 - CIESPP, B008 - MHMC",Exame,1.ª Época,Exame - 1.ª Época,Não,-,2023/01/13 15:00 - 18:00,,,0,47,-47
M0751,História de África (Mea),014 - MEA,Exame,2.ª Época,Exame - 2.ª Época,Não,-,2023/01/24 15:00 - 18:00,,,0,46,-46
L5161,Sistemas Políticos Comparados,9019 - LCP,Exame,2.ª Época,Exame - 2.ª Época,Não,-,2023/01/25 11:30 - 14:30,,,0,38,-38
00440,Laboratório de Ética e Profissão em Serviço Social,8014 - LSS-PL,Exame,2.ª Época,Exame - 2.ª Época,Não,-,2023/01/24 18:30 - 21:30,,,0,53,-53
01973,Introdução ao Inglês para Negócios,CT01 - CT,Exame,2.ª Época,Exame - 2.ª Época,Não,-,2023/01/24 11:30 - 14:30,,,0,108,-108
M8065,Desigualdades Sociais Contemporâneas,"B34 - MES, B119 - MSS, B30 - MS",Exame,Época Especial,Entrega de Trabalho Época Especial MS,Não,-,2023/07/10 00:00 - 23:59,,Novo,0,214,-214
01702,Métodos Avançados em Ciências da Comunicação,083 - DCCo,Exame,1.ª Época,Entrega de trabalho (2º prazo),Não,-,2023/01/19 18:30 - 21:30,,,0,25,-25
02431,Deontologia e Competências Profissionais em Grh,9157 - LGRH,Exame,2.ª Época,Exame - 2.ª Época,Não,-,2023/01/26 08:00 - 11:00,,,0,56,-56
L1830,Marketing Pessoal,0313 - CIIBS,Exame,2.ª Época,Exame - 2.ª Época,Não,-,2023/01/27 15:00 - 18:00,,,0,53,-53
03427,Instituições Políticas Comparadas,0310 - CIESPP,Exame,2.ª Época,Exame - 2.ª Época,Não,-,2023/01/23 15:00 - 18:00,,,0,34,-34
L5209,"Percepção, Atenção e Memória",9219 - LP,Exame,2.ª Época,Exame - 2.ª Época,Não,-,2023/01/23 08:00 - 11:00,,,0,128,-128
00440,Laboratório de Ética e Profissão em Serviço Social,8014 - LSS-PL,Avaliação Contínua,Época Normal,Ficha de Trabalho 2,Sim,21/09/2022 10:19 - 22/09/2022 20:59,2022/09/21 10:17 - 2022/09/22 20:59,,,0,19,-19
L5179,Portugal no Estado Novo,9927 - LHMC,Exame,1.ª Época,Exame - 1.ª Época,Não,-,2023/01/13 11:30 - 14:30,,,0,37,-37
00599,Gestão dos Recursos Humanos,B12 - MPDRH,Exame,2.ª Época,Exame - 2.ª Época,Não,-,2023/01/26 18:30 - 21:30,,,0,36,-36
02870,Text Mining,B57 - MSIAD,Exame,1.ª Época,Exame - 1.ª Época,Não,-,2023/01/10 18:30 - 21:30,,,0,42,-42
L0135,Álgebra,"9189 - LIGE, 8366 - LIGE-PL",Exame,1.ª Época,Exame - 1.ª Época,Não,-,2023/01/05 18:30 - 21:30,,,0,207,-207
02952,Compliance e Gestão de Riscos,BPG001 - PGCGP,Teste,Época Normal,Teste,Não,-,2023/02/14 19:00 - 21:00,,,0,12,-12
L2001,Teoria dos Circuitos,9098 - LETI,Exame,Época Especial,Exame Época Especial,Não,-,2023/07/13 11:30 - 14:30,,Resolvido,0,73,-73
00416,Macroeconometria I,"B114 - MEMF, 0115 - MED, 0116 - MEAS",Exame,1.ª Época,Exame - 1.ª Época,Não,-,2023/01/17 18:30 - 21:30,,,0,52,-52
03635,Seminário de Investigação em Business Analytics,0325 - MAG,Exame,1.ª Época,Exame - 1.ª Época,Não,-,2022/11/24 15:00 - 18:00,,,0,34,-34
03604,Análise de Redes (1ciclo),"0322 - LCD, 0324 - LCD-PL",Exame,2.ª Época,Exame - 2.ª Época,Não,-,2023/01/26 09:00 - 12:00,,,0,78,-78
04192,Aplicações de Sistemas Integrados de Apoio à Decisão,0312 - CIISTA,Exame,2.ª Época,Exame - 2.ª Época,Não,-,2023/01/27 18:30 - 21:30,,,0,28,-28
L0787,Modulação e Codificação,9098 - LETI,Exame,1.ª Época,Exame - 1.ª Época,Não,-,2023/01/12 08:00 - 11:00,,,0,94,-94
01323,Simulação de Sistemas e Operações,064 - MGST,Exame,1.ª Época,1st Sitting,Não,-,2022/10/28 08:00 - 11:00,,,0,38,-38
00511,Políticas de Educação,079 - MAE,Exame,1.ª Época,Exame - 1.ª Época,Não,-,2023/01/16 18:30 - 21:30,,,0,65,-65
00076,Estado e Políticas Públicas,"9019 - LCP, 9240 - LS, 8109 - LS-PL",Exame,Época Especial,Época Especial - Exame,Não,-,2023/07/13 15:00 - 18:00,,,0,77,-77
01703,Seminário de Projecto em Ciências da Comunicação,083 - DCCo,Exame,1.ª Época,Entrega do projeto de tese (1º draft),Não,-,2023/01/12 18:30 - 21:30,,,0,25,-25
00809,Gestão Intercultural (Mim),B42 - MGI,Exame,1.ª Época,Exame - 1.ª Época,Não,-,2022/11/16 18:00 - 21:00,,,0,45,-45
01772,Métodos de Inquirição Online,0310 - CIESPP,Exame,1.ª Época,Exame - 1.ª Época,Não,-,2023/01/09 18:30 - 21:30,,,0,50,-50
02399,Psicologia das Organizações e do Trabalho,"9081 - LE, 9219 - LP",Exame,1.ª Época,Exame - 1.ª Época,Não,-,2023/01/04 08:00 - 11:00,,,0,125,-125
M5500,Estratégia de Marketing,B55 - MM,Exame,2.ª Época,2nd Sitting / 2ª Época,Não,-,2023/01/10 08:00 - 11:00,Auditório B2.04,Resolvido,95,88,7
M8585,Direito do Trabalho I,0239 - MDET,Exame,1.ª Época,Exame - 1.ª Época,Não,-,2023/01/11 18:30 - 21:30,,,0,56,-56
L5408,Cultura e Sociedade,"9240 - LS, 8109 - LS-PL",Exame,2.ª Época,Exame - 2.ª Época,Não,-,2023/01/25 18:30 - 21:30,,,0,154,-154
M1503,Métodos Quantitativos,B16 - MGE,Exame,2.ª Época,Exame - 2.ª Época,Não,-,2023/01/12 08:00 - 11:00,,,0,103,-103
02256,Competências para o Mercado de Trabalho,CT01 - CT,Exame,1.ª Época,Exame - 1.ª Época,Não,-,2023/01/02 08:00 - 11:00,,,0,155,-155
L0718,Informática de Gestão,"8029 - LFC, 9147 - LG",Exame,2.ª Época,Exame - 2.ª Época,Não,-,2023/01/28 08:00 - 11:00,,,0,278,-278
L0646,Investimentos,8029 - LFC,Exame,1.ª Época,Exame - 1.ª Época,Não,-,2023/01/13 08:00 - 11:00,,,0,98,-98
01773,Métodos de Análise de Multimédia,0310 - CIESPP,Exame,1.ª Época,Exame - 1.ª Época,Não,-,2023/01/11 18:30 - 21:30,,,0,45,-45
03065,Seminário sobre Temas de Direito das Empresas (Mdet),0239 - MDET,Exame,1.ª Época,Exame - 1.ª Época,Não,-,2023/01/03 18:30 - 21:30,,,0,18,-18
L5001,Métodos e Áreas de Aplicação da Psicologia,9219 - LP,Exame,2.ª Época,Exame - 2.ª Época,Não,-,2023/01/24 08:00 - 11:00,,,0,121,-121
03337,"Economia, Desenvolvimento e Território",B68 - MEPP,Exame,2.ª Época,Exame - 2.ª Época,Não,-,2023/01/17 18:30 - 21:30,,,0,44,-44
01805,Português Como Língua Estrangeira - Iniciação,CT01 - CT,Exame,Época Especial,Exame - Época especial,Não,-,2023/07/11 16:00 - 18:00,,Novo,0,5,-5
03842,Análise de Dados em Marketing,9156 - LGM,Exame,2.ª Época,Exame - 2.ª Época,Não,-,2023/01/25 11:30 - 14:30,,,0,50,-50
L0404,Diagnóstico e Mudança Organizacional,9157 - LGRH,Exame,1.ª Época,Exame - 1.ª Época,Não,-,2023/01/02 11:30 - 14:30,,,0,59,-59
L2245,Arquitectura III,9257 - MIA,Exame,2.ª Época,Exame - 2.ª Época,Não,-,2023/01/27 08:00 - 11:00,,,0,56,-56
02849,Teorias da Personalidade,8014 - LSS-PL,Exame,1.ª Época,Exame - 1.ª Época,Não,-,2023/01/20 18:30 - 21:30,,,0,66,-66
M0117,Práticas Discursivas,B01 - MCCTI,Exame,1.ª Época,1.ª Época - Trabalho individual,Não,-,2023/01/10 00:00 - 23:59,,,0,108,-108
01667,Direito da Educação,079 - MAE,Exame,1.ª Época,Exame - 1.ª Época,Não,-,2023/01/11 18:30 - 21:30,,,0,56,-56
00551,Dissertação em Administração Pública,013 - MAP,Exame,2.ª Época,Exame - 2.ª Época,Não,-,2023/01/26 18:30 - 21:30,,,0,29,-29
02033,História Política Contemporânea de Portugal,9019 - LCP,Exame,2.ª Época,Exame - 2.ª Época,Não,-,2023/01/26 11:30 - 14:30,,,0,41,-41
M8664,Economia Monetária Internacional Avançada,B114 - MEMF,Exame,1.ª Época,Exame - 1.ª Época,Não,-,2023/01/10 18:30 - 21:30,,,0,50,-50
L5037,Gestão Logística,L030 - LGIL,Exame,1.ª Época,Exame - 1.ª Época,Não,-,2023/01/06 08:00 - 11:00,,,0,39,-39
03253,Análise de Dados em Ciências Sociais (1c),9927 - LHMC,Exame,1.ª Época,Exame - 1.ª Época (4) ,Não,-,2023/01/04 11:30 - 14:30,,,0,62,-62
03522,Igualdade de Género e Diversidade - Iniciação,CT01 - CT,Exame,1.ª Época,Exame - 1.ª Época,Não,-,2023/01/02 08:00 - 11:00,,,0,57,-57
00750,Gestão da Inovação,064 - MGST,Exame,2.ª Época,Exame - 2.ª Época,Não,-,2023/01/10 08:00 - 11:00,,,0,45,-45
03758,Design e Produção de Jogos Digitais,0312 - CIISTA,Exame,2.ª Época,Exame - 2.ª Época,Não,-,2023/01/23 11:30 - 14:30,,,0,10,-10
03172,Análise de Dados em Hotelaria e Turismo,027 - MGHT,Exame,2.ª Época,2nd Sitting Part II,Não,-,2023/01/13 13:30 - 14:30,0S01,Resolvido,39,30,9
04071,Desenho e Acompanhamento de Processos de Avaliação de Políticas,0355 - APP,Exame,Época Especial,Exame Época Especial,Não,-,2023/07/13 10:00 - 13:00,,Resolvido,0,30,-30
03754,Arquitetura e Desenho de Software,B104 - MEI,Exame,1.ª Época,Exame - 1.ª Época,Não,-,2023/01/04 18:30 - 21:30,,,0,77,-77
L5074,Epistemologia e Conhecimento Antropológico,9448 - LA,Exame,2.ª Época,Exame - 2.ª Época,Não,-,2023/01/27 15:00 - 18:00,,,0,43,-43
M8642,Reporte Financeiro,8029 - LFC,Exame,1.ª Época,Exame - 1.ª Época,Não,-,2023/01/12 11:30 - 14:30,,,0,35,-35
M8663,Macroeconomia e Análise de Conjuntura,B114 - MEMF,Exame,2.ª Época,Exame - 2.ª Época,Não,-,2023/01/27 18:30 - 21:30,,,0,50,-50
L0641,"Fusões, Aquisições e Avaliação de Empresas",0313 - CIIBS,Exame,2.ª Época,Exame - 2.ª Época,Não,-,2023/01/26 15:00 - 18:00,,,0,58,-58
00120,Bases Biológicas das Emoções,0218 - MCE,Exame,2.ª Época,Exame - 2.ª Época,Não,-,2023/01/23 18:30 - 21:30,,,0,41,-41
03442,Turismo de Compras e Gestão de Retalho de Luxo,"0379 - TourDC, 027 - MGHT",Exame,1.ª Época,Exame - 1.ª Época,Não,-,2022/12/14 08:00 - 11:00,,,0,27,-27
L5024,Marketing Operacional,"9147 - LG, 9156 - LGM",Exame,1.ª Época,Exame - 1.ª Época,Não,-,2023/01/06 11:30 - 14:30,,,0,231,-231
