Código,Unidade Curricular,Cursos,Tipo,Época,Nome,Requer inscrição prévia,Período de Inscrição,Data,Salas,Estado de pedido de sala,Capacidade Salas,Nº alunos previsto,Lugares
03015,Avaliação da Performance Financeira,BPG018 - GE,Projecto,Época Normal,Trabalho,Não,-,2022/11/26 18:00 - 2022/12/13 18:30,,,0,0,0
M8623,"Definição, Sinalização e Avaliação de Crianças em Situação de Mau Trato e Negligência",0311 - CIECSH,Exame,2.ª Época,Exame - 2.ª Época,Não,-,2023/01/27 11:30 - 14:30,,,0,38,-38
L5164,Cidadania e Cultura Política,9019 - LCP,Exame,2.ª Época,Exame - 2.ª Época,Não,-,2023/01/25 11:30 - 14:30,,,0,78,-78
02852,Abordagens à Psicopatologia,8014 - LSS-PL,Exame,1.ª Época,Exame - 1.ª Época,Não,-,2023/01/06 18:30 - 21:30,,,0,60,-60
00618,Dissertação em Serviço Social,B119 - MSS,Exame,1.ª Época,Exame - 1.ª Época,Não,-,2023/01/27 18:30 - 21:30,,,0,43,-43
00513,Desenho de Sistemas de Informação,B15 - MGSI,Exame,2.ª Época,Exame - 2.ª Época,Não,-,2023/01/24 18:30 - 21:30,,,0,35,-35
03475,Gestão de Operações e Sistema Logístico,B23 - MGSS,Exame,1.ª Época,Exame - 1.ª Época,Não,-,2022/10/24 09:30 - 12:30,Auditório 1NE03 - JJ Laginha,Resolvido,148,45,103
01186,Métodos de Pesquisa em Antropologia (2º Ciclo),"B121 - MA, 0232 - MA-UTAD, 0326 - EP",Exame,1.ª Época,Exame - 1.ª Época,Não,-,2023/01/04 18:30 - 21:30,,,0,27,-27
00251,Finanças Empresariais (I),B24 - MF,Exame,1.ª Época,Exame - 1.ª Época,Não,-,2022/12/07 15:00 - 18:00,,,0,51,-51
L1903,Comportamento e Experiência do Consumidor,9156 - LGM,Exame,2.ª Época,Exame - 2.ª Época,Não,-,2023/01/23 11:30 - 14:30,,,0,43,-43
03460,Mar e Globalização,0291 - GSM,Exame,2.ª Época,Exame - 2.ª Época,Não,-,2023/01/24 18:30 - 21:30,,,0,44,-44
02397,Avaliação e Peritagem de Obras de Arte,0176 - MMA,Exame,1.ª Época,1ª Época - Exame,Não,-,2023/01/16 18:00 - 20:30,AA2.28,Resolvido,15,5,10
01109,Economia do Ambiente e dos Recursos Naturais,0313 - CIIBS,Exame,2.ª Época,Exame - 2.ª Época,Não,-,2023/01/27 11:30 - 14:30,,,0,53,-53
L0782,Introdução à Programação,"9098 - LETI, 9119 - LEI, 9885 - LEI-PL, 9189 - LIGE, 8366 - LIGE-PL",Exame,2.ª Época,Exame - 2.ª Época,Não,-,2023/01/23 08:00 - 11:00,,,0,404,-404
03746,Laboratório de Internet das Coisas,0312 - CIISTA,Exame,1.ª Época,Exame - 1.ª Época,Não,-,2023/01/06 18:30 - 21:30,,,0,44,-44
01741,Teorias da Cidade e do Território,"0116 - MEAS, 080 - MEU",Exame,1.ª Época,Exame - 1.ª Época,Não,-,2023/01/16 18:30 - 21:30,,,0,0,0
M8345,Gestão de Marcas,B55 - MM,Exame,1.ª Época,1st Sitting / 1ª Época,Não,-,2022/10/19 14:00 - 17:00,AA2.28,Resolvido,15,5,10
M8660,Economia Global e Internacionalização das Empresas,6421 - MEEC,Exame,1.ª Época,Exame - 1.ª Época,Não,-,2023/01/05 18:30 - 21:30,Auditório 0NE02-Caiano Pereira,,45,36,9
03642,Economia Política Internacional,0326 - EP,Exame,1.ª Época,Exame - 1.ª Época,Não,-,2023/01/11 15:00 - 18:00,,,0,38,-38
00505,Educação ao Longo da Vida,B34 - MES,Exame,2.ª Época,Exame - 2.ª Época,Não,-,2023/01/24 18:30 - 21:30,,,0,52,-52
01710,Planeamento de Políticas Públicas,"0355 - APP, 0310 - CIESPP",Exame,1.ª Época,Exame - 1.ª Época,Não,-,2023/01/16 15:00 - 18:00,,,0,63,-63
L0539,Recrutamento e Selecção,9157 - LGRH,Avaliação Contínua,Época Normal,Teste Intermédio,Não,-,2022/10/19 08:00 - 11:00,Auditório 4,Resolvido,125,56,69
03639,Leituras em Economia Política,0326 - EP,Exame,2.ª Época,Exame - 2.ª Época,Não,-,2023/01/26 18:30 - 21:30,,,0,36,-36
03093,Tópicos Avançados em Macroeconomia I,"B412 - DEc, 5563 - DF",Exame,1.ª Época,Exame - 1.ª Época,Não,-,2023/01/20 17:30 - 20:30,,,0,11,-11
03172,Análise de Dados em Hotelaria e Turismo,027 - MGHT,Exame,2.ª Época,2nd Sitting Part I,Não,-,2023/01/13 11:00 - 13:00,C6.10,Resolvido,40,30,10
L5158,Partidos Políticos e Grupos de Interesse,"9019 - LCP, 0394 - LPES",Exame,1.ª Época,Exame - 1.ª Época,Não,-,2023/01/12 08:00 - 11:00,,,0,51,-51
04072,Métodos de Avaliação de Políticas (Pgapp),0355 - APP,Exame,Época Especial,Exame Época Especial,Não,-,2023/07/12 10:00 - 13:00,,Resolvido,0,29,-29
00554,Métodos e Técnicas de Investigação em Administração Pública,013 - MAP,Exame,1.ª Época,Exame - 1.ª Época,Não,-,2023/01/11 18:30 - 21:30,,,0,48,-48
02039,Seminário de Grupos e Intervenção Comunitária,8014 - LSS-PL,Exame,2.ª Época,Exame - 2.ª Época,Não,-,2023/01/25 18:30 - 21:30,,,0,63,-63
03070,Avaliação de Projetos e Empresas,6421 - MEEC,Exame,2.ª Época,Exame - 2.ª Época,Não,-,2023/01/19 18:30 - 21:30,Auditório 0NE03 - Mário Murteira,,45,38,7
03669,Seminário de Projeto em Políticas de Administração e Gestão Escolar,0328 - DPAGE,Exame,1.ª Época,Entrega de trabalho final,Não,-,2023/06/27 18:30 - 21:30,,,0,11,-11
04071,Desenho e Acompanhamento de Processos de Avaliação de Políticas,0355 - APP,Exame,2.ª Época,Exame 2ª Época,Não,-,2023/05/22 10:00 - 13:00,,Resolvido,0,30,-30
01926,Concepção de Sistemas de Controlo de Gestão,039 - MIG,Exame,1.ª Época,Exame - 1.ª Época,Não,-,2023/01/02 18:30 - 21:30,,,0,45,-45
00553,Métodos de Pesquisa em Ciências Sociais,"B31 - MCP, B66 - MCTRL, B34 - MES, 014 - MEA, 012 - MPP, B30 - MS",Exame,2.ª Época,Exame - 2.ª Época,Não,-,2023/01/26 18:30 - 21:30,,,0,150,-150
L0307,Direito Económico,9081 - LE,Exame,2.ª Época,Exame - 2.ª Época,Não,-,2023/01/25 11:30 - 14:30,,,0,52,-52
01312,Métodos de Análise de Dados,B119 - MSS,Exame,1.ª Época,Exame - 1.ª Época,Não,-,2023/01/04 18:30 - 21:30,,,0,85,-85
03118,Tópicos em Economia da Saúde,0313 - CIIBS,Exame,2.ª Época,Exame - 2.ª Época,Não,-,2023/01/04 18:30 - 21:30,,,0,0,0
L0646,Investimentos,8029 - LFC,Exame,2.ª Época,Exame - 2.ª Época,Não,-,2023/01/26 11:30 - 14:30,,,0,98,-98
03679,Sistemas de Controlo de Gestão Aplicados,0329 - MCD,Exame,2.ª Época,Exame - 2.ª Época,Não,-,2023/01/11 18:30 - 21:30,,,0,34,-34
03723,Tópicos de Matemática para Computação,"9119 - LEI, 9885 - LEI-PL",Exame,Época Especial,Exame Época Especial,Não,-,2023/07/12 11:30 - 14:30,,Resolvido,0,136,-136
L6103,Teorias Sociológicas Contemporâneas,"9240 - LS, 8109 - LS-PL",Exame,2.ª Época,Exame - 2.ª Época,Não,-,2023/01/23 18:30 - 21:30,,,0,88,-88
03494,Ciberdireito,0329 - MCD,Exame,1.ª Época,Exame - 1.ª Época,Não,-,2023/01/13 19:00 - 22:00,,,0,33,-33
01185,Reporte Empresarial,B27 - MC,Exame,2.ª Época,Exame - 2.ª Época,Não,-,2023/01/09 08:00 - 11:00,,,0,0,0
M9126,Liderança e Gestão de Recursos Humanos,B16 - MGE,Exame,2.ª Época,Exame - 2.ª Época,Não,-,2023/01/10 08:00 - 11:00,,,0,82,-82
02395,Mercado da Arte: Estruturas e Dinâmicas,0176 - MMA,Exame,2.ª Época,2ª Época - Exame,Não,-,2023/01/27 18:00 - 20:30,Auditório 1,Resolvido,60,35,25
03843,Análise de Dados em Gestão de Recursos Humanos I,9157 - LGRH,Exame,1.ª Época,Exame - 1.ª Época,Não,-,2023/01/12 08:00 - 11:00,,,0,79,-79
03679,Sistemas de Controlo de Gestão Aplicados,0329 - MCD,Exame,1.ª Época,Exame - 1.ª Época,Não,-,2023/01/06 19:00 - 22:00,C5.06,Resolvido,35,34,1
00550,Modernização Administrativa e Modelos de Gestão Pública,013 - MAP,Exame,1.ª Época,Exame - 1.ª Época,Não,-,2023/01/10 18:30 - 21:30,,,0,29,-29
M8557,Métodos Quantitativos Aplicados ao Marketing,B55 - MM,Exame,2.ª Época,2nd Sitting / 2ª Época,Não,-,2023/01/09 11:00 - 14:00,,Novo,0,82,-82
03339,Política Industrial e Competitividade,B68 - MEPP,Exame,2.ª Época,Exame - 2.ª Época,Não,-,2023/01/20 18:30 - 21:30,,,0,43,-43
00737,Seminário de Investigação em Marketing,B55 - MM,Exame,1.ª Época,Exame - 1.ª Época,Não,-,2022/12/15 08:00 - 11:00,,,0,60,-60
L5029,Direito das Sociedades Comerciais,8029 - LFC,Exame,2.ª Época,Exame - 2.ª Época,Não,-,2023/01/24 11:30 - 14:30,,,0,72,-72
M8318,Métodos de Investigação em Gestão Internacional,B42 - MGI,Exame,2.ª Época,Exame - 2.ª Época,Não,-,2023/01/06 18:00 - 21:00,,Novo,0,45,-45
00437,Direito Social,8014 - LSS-PL,Exame,2.ª Época,Exame - 2.ª Época,Não,-,2023/01/24 18:30 - 21:30,,,0,69,-69
M8663,Macroeconomia e Análise de Conjuntura,B114 - MEMF,Exame,1.ª Época,Exame - 1.ª Época,Não,-,2023/01/20 18:30 - 21:30,,,0,50,-50
01730,Redes Sociais Online,B01 - MCCTI,Exame,1.ª Época,1.ª Época - Trabalho individual,Não,-,2023/01/16 00:00 - 23:59,,,0,92,-92
03675,Gestão de Big Data,0329 - MCD,Exame,1.ª Época,Exame - 1.ª Época,Não,-,2022/12/08 18:00 - 21:00,,,0,38,-38
00707,Sistemas Colaborativos,0110 - PGIAO,Exame,1.ª Época,Exame 1ª Época | PGIAO,Não,-,2023/01/09 18:00 - 20:00,,Novo,0,27,-27
03541,"Conceitos, Fundamentos e Desafios em Ação Humanitária",0344 - MAH,Exame,1.ª Época,Exame - 1.ª Época,Não,-,2023/01/16 18:30 - 21:30,,,0,51,-51
L5400,Análise de Dados em Ciências Sociais - Descritiva,"9019 - LCP, 9240 - LS, 8109 - LS-PL",Exame,Época Especial,Época Especial - Exame escrito/SPSS,Não,-,2023/07/12 18:30 - 21:30,,Novo,0,231,-231
03349,Reporte Internacional,B42 - MGI,Exame,2.ª Época,Exame - 2.ª Época,Não,-,2023/01/13 18:00 - 21:00,,,0,44,-44
02121,Estado e Parcerias para o Desenvolvimento,0115 - MED,Exame,2.ª Época,Exame - 2.ª Época,Não,-,2023/01/23 18:30 - 21:30,,,0,34,-34
04033,Teoria Antropológica: Explicação e Interpretação,B121 - MA,Exame,1.ª Época,Exame - 1.ª Época,Não,-,2023/01/20 18:30 - 21:30,,,0,33,-33
02247,Apresentações Profissionais,CT01 - CT,Exame,2.ª Época,Exame - 2.ª Época,Não,-,2023/01/23 08:00 - 11:00,,,0,74,-74
L2101,Electromagnetismo,9098 - LETI,Exame,Época Especial,Exame Época Especial,Não,-,2023/07/14 11:30 - 14:30,,Resolvido,0,80,-80
00842,Sociedade da Informação e do Conhecimento,"0110 - PGIAO, 013 - MAP",Exame,1.ª Época,Exame - 1.ª Época,Não,-,2023/01/06 18:30 - 21:30,,,0,46,-46
00277,Sistemas de Informação: Bibliotecas e Arquivos,9927 - LHMC,Exame,2.ª Época,Exame - 2.ª Época,Não,-,2023/01/26 11:30 - 14:30,,,0,43,-43
03702,Álgebra Linear,"9098 - LETI, 9119 - LEI, 9885 - LEI-PL",Exame,Época Especial,Exame Época Especial,Não,-,2023/07/14 08:00 - 11:00,,Novo,0,269,-269
M9124,Gestão do Marketing (2.º Ciclo - Ch),B16 - MGE,Exame,1.ª Época,Exame - 1.ª Época,Não,-,2022/10/26 11:30 - 14:30,,,0,97,-97
02297,Turismo e Mundos Urbanos,"0379 - TourDC, 027 - MGHT",Exame,2.ª Época,Exame - 2.ª Época,Não,-,2023/01/10 08:00 - 11:00,,,0,27,-27
03220,História e Globalização I,B008 - MHMC,Exame,2.ª Época,Exame - 2.ª Época,Não,-,2023/01/27 18:30 - 21:30,,,0,50,-50
M8390,Inteligência e Gestão de Redes e Serviços,B103 - METI,Exame,1.ª Época,Exame - 1.ª Época,Não,-,2023/01/04 18:30 - 21:30,,,0,54,-54
03676,Reconhecimento de Padrões,0329 - MCD,Exame,2.ª Época,Exame - 2.ª Época,Não,-,2022/12/16 18:00 - 21:00,,,0,37,-37
00422,Gestão de Recursos Humanos Internacional,B42 - MGI,Exame,2.ª Época,Exame - 2.ª Época,Não,-,2023/01/16 18:00 - 21:00,,,0,47,-47
01730,Redes Sociais Online,B01 - MCCTI,Exame,2.ª Época,2.ª Época - Trabalho individual,Não,-,2023/01/28 00:00 - 23:59,,,0,92,-92
L5249,Gestão de Projectos de Tecnologia e Sistemas de Informação,"9189 - LIGE, 8366 - LIGE-PL",Exame,2.ª Época,Exame - 2.ª Época,Não,-,2023/01/23 18:30 - 21:30,,,0,117,-117
01706,Políticas Públicas Europeias e Internacionais,"032 - DPP, 012 - MPP",Exame,1.ª Época,Entrega de trabalho (2º prazo),Não,-,2023/01/25 18:30 - 21:30,,,0,69,-69
03901,Avaliação de Empresas,0332 - MRF,Teste,Época Normal,teste,Não,-,2022/11/24 18:30 - 20:30,,,0,21,-21
01769,Marketing para as Tecnologias,"9189 - LIGE, 8366 - LIGE-PL",Exame,2.ª Época,Exame - 2.ª Época,Não,-,2023/01/27 15:00 - 18:00,,Resolvido,0,77,-77
M8109,Pesquisa de Terreno,"0310 - CIESPP, 0115 - MED, 0116 - MEAS",Exame,2.ª Época,Exame - 2.ª Época,Não,-,2023/01/25 18:30 - 21:30,,,0,99,-99
00023,Dinâmicas Sociais e Culturais de África,014 - MEA,Exame,2.ª Época,Exame - 2.ª Época,Não,-,2023/01/26 15:00 - 18:00,,,0,54,-54
01836,Seminário de Projecto em Psicologia,"B406 - DP, 0198 - DPSL",Exame,1.ª Época,Exame - 1.ª Época (1) ,Não,-,2023/01/06 08:00 - 11:00,,,0,7,-7
00788,Metodologias de Investigação em Direito,0239 - MDET,Exame,1.ª Época,Exame - 1.ª Época,Não,-,2023/01/04 18:30 - 21:30,,,0,56,-56
03737,Gestão de Recursos Humanos e de Equipas,"9189 - LIGE, 8366 - LIGE-PL",Exame,1.ª Época,Exame - 1.ª Época,Não,-,2023/01/12 18:30 - 21:30,,,0,94,-94
03747,Conceção e Viabilidade de Projeto de Base Tecnológica,"9189 - LIGE, 8366 - LIGE-PL",Exame,1.ª Época,Exame - 1.ª Época,Não,-,2023/01/17 18:30 - 21:30,,,0,85,-85
00842,Sociedade da Informação e do Conhecimento,"0110 - PGIAO, 013 - MAP",Exame,2.ª Época,Exame - 2.ª Época,Não,-,2023/01/16 18:30 - 21:30,,,0,46,-46
L5179,Portugal no Estado Novo,9927 - LHMC,Exame,2.ª Época,Exame - 2.ª Época,Não,-,2023/01/25 11:30 - 14:30,,,0,37,-37
00555,Análise de Indicadores Estatísticos,0310 - CIESPP,Exame,2.ª Época,Exame - 2.ª Época,Não,-,2023/01/24 08:00 - 11:00,,,0,98,-98
03675,Gestão de Big Data,0329 - MCD,Exame,2.ª Época,Exame - 2.ª Época,Não,-,2023/01/10 18:00 - 21:00,,,0,38,-38
L0626,Finanças Internacionais,8029 - LFC,Exame,2.ª Época,Exame - 2.ª Época,Não,-,2023/01/25 15:00 - 18:00,,,0,64,-64
01725,"Organizações, Profissões e Criatividade","B01 - MCCTI, 0177 - MEECult, 0321 - MEGC",Exame,1.ª Época,Exame - 1.ª Época,Não,-,2023/01/21 08:00 - 11:00,,,0,18,-18
L5180,A Europa e o Mundo Entre as Guerras,9927 - LHMC,Exame,1.ª Época,Exame - 1.ª Época,Não,-,2023/01/04 11:30 - 14:30,,,0,37,-37
M8516,Gestão de Canais de Distribuição,B55 - MM,Exame,2.ª Época,2nd Sitting / 2ª Época,Não,-,2023/01/13 14:00 - 17:00,Auditório B1.04,Resolvido,96,85,11
03522,Igualdade de Género e Diversidade - Iniciação,CT01 - CT,Exame,2.ª Época,Exame - 2.ª Época,Não,-,2023/01/23 08:00 - 11:00,,,0,57,-57
00813,Museus e Colecções,0311 - CIECSH,Exame,1.ª Época,Exame - 1.ª Época,Não,-,2023/01/21 15:00 - 18:00,,,0,51,-51
02130,Sistemas Tecnológicos I,L030 - LGIL,Exame,2.ª Época,Exame - 2.ª Época,Não,-,2023/01/27 11:30 - 14:30,,,0,38,-38
00710,Introdução à Investigação em Ciências e Tecnologias de Informação,"0110 - PGIAO, B15 - MGSI",Teste,Época Normal,Entrega de Trabalho | PGIAO,Não,-,2023/01/15 08:00 - 23:59,,Resolvido,0,27,-27
03732,Investimentos e Mercados Financeiros,"9189 - LIGE, 8366 - LIGE-PL",Teste,Época Normal,Teste intermédio,Não,-,2022/11/05 09:30 - 12:30,"Auditório B1.03, Auditório B1.04",Resolvido,198,173,25
00356,Metodologias de Investigação em Gestão Empresarial Aplicada,B405 - DMAG,Exame,1.ª Época,Exame - 1.ª Época (1) ,Não,-,2023/01/03 11:30 - 14:30,,,0,56,-56
M8505,Estratégia e Desenvolvimento Empresarial,"B113 - MG, 064 - MGST",Exame,2.ª Época,Exame - 2.ª Época,Não,-,2023/01/11 08:00 - 11:00,,,0,225,-225
03118,Tópicos em Economia da Saúde,0313 - CIIBS,Exame,1.ª Época,Exame - 1.ª Época,Não,-,2023/01/03 18:30 - 21:30,,,0,0,0
00785,Negociação Empresarial,0239 - MDET,Exame,2.ª Época,Exame - 2.ª Época,Não,-,2023/01/23 18:30 - 21:30,,,0,56,-56
00438,Teoria e História do Serviço Social,8014 - LSS-PL,Exame,1.ª Época,Exame - 1.ª Época,Não,-,2023/01/06 18:30 - 21:30,,,0,58,-58
03584,Fundamentos de Álgebra Linear,"0322 - LCD, 0324 - LCD-PL",Exame,Época Especial,Exame época especial,Não,-,2023/07/10 09:00 - 12:00,,Novo,0,123,-123
L0718,Informática de Gestão,"8029 - LFC, 9147 - LG",Exame,1.ª Época,Exame - 1.ª Época,Não,-,2023/01/19 08:00 - 11:00,,,0,278,-278
L0104,Estatística,9081 - LE,Exame,2.ª Época,Exame - 2.ª Época,Não,-,2023/01/26 11:30 - 14:30,,,0,88,-88
01769,Marketing para as Tecnologias,"9189 - LIGE, 8366 - LIGE-PL",Exame,Época Especial,Exame - Época Especial,Não,-,2023/07/14 08:00 - 11:00,,Resolvido,0,77,-77
01805,Português Como Língua Estrangeira - Iniciação,CT01 - CT,Exame,2.ª Época,Exame - 2.ª Época,Não,-,2023/01/24 16:00 - 18:00,,,0,116,-116
L0236,Macroeconomia,9147 - LG,Exame,1.ª Época,Exame - 1.ª Época,Não,-,2023/01/10 08:00 - 11:00,,,0,233,-233
M8205,Métodos Avançados de Análise de Dados,"0338 - PMGIDS, 081 - MPRI, B4 - MPSO",Exame,2.ª Época,Exame - 2.ª Época,Não,-,2023/01/27 15:00 - 18:00,,,0,144,-144
03070,Avaliação de Projetos e Empresas,6421 - MEEC,Exame,1.ª Época,Exame - 1.ª Época,Não,-,2022/12/03 14:00 - 17:00,Auditório 0NE03 - Mário Murteira,,45,38,7
M1617,Análise de Projectos de Investimento,064 - MGST,Exame,2.ª Época,Exame - 2.ª Época,Não,-,2023/01/09 11:30 - 14:30,,,0,45,-45
M8065,Desigualdades Sociais Contemporâneas,"B34 - MES, B119 - MSS, B30 - MS",Exame,1.ª Época,Entrega de Trabalho 1ªÉpoca MS,Não,-,2023/01/06 00:00 - 23:59,,,0,214,-214
03209,Fundamentos de Ciência dos Dados,"0312 - CIISTA, 039 - MIG",Exame,1.ª Época,Exame - 1.ª Época,Não,-,2023/01/05 18:30 - 21:30,,,0,93,-93
04004,Seminário de Investigação em Arquitetura dos Territórios Metropolitanos Contemporâneos,085 - DATMC,Exame,1.ª Época,Exame - 1.ª Época (1) ,Não,-,2023/01/03 08:00 - 11:00,,,0,8,-8
L0779,Processamento de Informação,"9119 - LEI, 9885 - LEI-PL",Exame,1.ª Época,Exame - 1.ª Época,Não,-,2023/01/12 18:30 - 21:30,,,0,137,-137
L5054,Avaliação de Desempenho,9157 - LGRH,Exame,2.ª Época,Exame - 2.ª Época,Não,-,2023/01/24 11:30 - 14:30,,,0,48,-48
M8109,Pesquisa de Terreno,"0310 - CIESPP, 0115 - MED, 0116 - MEAS",Exame,1.ª Época,Exame - 1.ª Época,Não,-,2023/01/10 15:00 - 18:00,,,0,99,-99
M8062,Instituições nas Sociedades Contemporâneas,B30 - MS,Exame,2.ª Época,Exame - 2.ª Época,Não,-,2023/01/27 18:30 - 21:30,,,0,103,-103
L5041,Gestão de Operações e Logística,9156 - LGM,Exame,2.ª Época,Exame - 2.ª Época,Não,-,2023/01/25 15:00 - 18:00,,,0,62,-62
M8065,Desigualdades Sociais Contemporâneas,"B34 - MES, B119 - MSS, B30 - MS",Exame,2.ª Época,Entrega de Trabalho 2ºÉpoca MES,Não,-,2023/01/23 00:00 - 23:59,,,0,214,-214
M9084,Seminário de Investigação em Políticas de Desenvolvimento dos Recursos Humanos,B12 - MPDRH,Exame,2.ª Época,Exame - 2.ª Época,Não,-,2023/01/24 18:30 - 21:30,,,0,27,-27
02216,Sociologia Económica,"9081 - LE, 0394 - LPES",Exame,2.ª Época,Exame - 2.ª Época,Não,-,2023/01/25 11:30 - 14:30,,,0,27,-27
00362,Desenvolvimento do Desenho e Organização do Projecto de Investigação em Gestão Empresarial Aplicada,B405 - DMAG,Exame,1.ª Época,Exame - 1.ª Época (1) ,Não,-,2023/01/06 15:00 - 18:00,,,0,1,-1
03747,Conceção e Viabilidade de Projeto de Base Tecnológica,"9189 - LIGE, 8366 - LIGE-PL",Exame,2.ª Época,Exame - 2.ª Época,Não,-,2023/01/26 18:30 - 21:30,,,0,85,-85
03585,"Dados na Ciência, Gestão e Sociedade","0322 - LCD, 0324 - LCD-PL",Exame,1.ª Época,Exame - 1.ª Época,Não,-,2022/11/02 09:00 - 12:00,Auditório B1.03,Resolvido,102,115,-13
00064,Teorias Sociológicas Clássicas: Grandes Obras,B1D - DS,Exame,1.ª Época,Entrega de trabalho final,Não,-,2023/01/16 18:30 - 21:30,,,0,22,-22
01290,Controlo de Gestão e Qualidade,BPG001 - PGCGP,Teste,Época Normal,Teste,Não,-,2022/12/06 19:00 - 21:00,,,0,12,-12
00964,Seminário de Projecto de Investigação em Políticas Públicas,032 - DPP,Exame,1.ª Época,Entrega de trabalho,Não,-,2023/06/23 18:30 - 21:30,,,0,31,-31
03066,"Decisão, Interação Estratégica e Contratos",6421 - MEEC,Exame,2.ª Época,Exame - 2.ª Época,Não,-,2023/01/25 18:30 - 21:30,Auditório 0NE02-Caiano Pereira,,45,37,8
L0539,Recrutamento e Selecção,9157 - LGRH,Exame,1.ª Época,Exame - 1.ª Época,Não,-,2023/01/09 11:30 - 14:30,,,0,56,-56
02881,Desafios Atuais na Gestão de Recursos Humanos,0219 - MGRHCO,Exame,1.ª Época,1st Sitting | 1ª Época,Não,-,2022/12/09 08:00 - 11:00,AA2.23,Resolvido,25,5,20
01815,Gestão de Comunicação,B55 - MM,Exame,2.ª Época,2nd Sitting / 2ª Época,Não,-,2023/01/13 08:00 - 11:00,AA3.23,Resolvido,26,5,21
02684,Seminário sobre Temas de Direito do Trabalho (6 Ects),0239 - MDET,Exame,2.ª Época,Exame - 2.ª Época,Não,-,2023/01/23 18:30 - 21:30,,,0,14,-14
03089,Econometria Avançada I,"B412 - DEc, 5563 - DF",Exame,1.ª Época,Exame - 1.ª Época,Não,-,2023/01/09 17:30 - 20:30,,,0,13,-13
03986,Liderança e Gestão de Equipas para Executivos,0339 - MGA,Projecto,Época Normal,Work Group,Não,-,2022/09/05 18:30 - 2022/10/02 23:59,,,0,22,-22
00010,Segurança em Redes e Sistemas de Informação,"B103 - METI, B104 - MEI",Exame,1.ª Época,Exame - 1.ª Época,Não,-,2023/01/09 18:30 - 21:30,,,0,156,-156
03435,Debates em Antropologia,0288 - DAntFCSH,Exame,1.ª Época,Exame - 1.ª Época (1) ,Não,-,2023/01/09 18:30 - 21:30,,,0,2,-2
03606,Interfaces Web para A Gestão de Dados,"0322 - LCD, 0324 - LCD-PL",Exame,2.ª Época,Exame - 2.ª Época,Não,-,2023/01/21 08:00 - 11:00,,,0,77,-77
04005,Seminário em Ciência Política e Relações Internacionais,082 - DCP,Exame,1.ª Época,Entrega de trabalho final - 2.º Semestre,Não,-,2023/07/01 18:30 - 21:30,,,0,17,-17
03889,Finanças Empresariais (4ects),BPG013 - DE,Teste,Época Normal,Teste de Avaliação,Não,-,2023/02/10 19:00 - 21:00,,,0,39,-39
03337,"Economia, Desenvolvimento e Território",B68 - MEPP,Exame,1.ª Época,Exame - 1.ª Época,Não,-,2023/01/03 18:30 - 21:30,,,0,44,-44
L0881,História da Expansão Portuguesa,9927 - LHMC,Exame,1.ª Época,Exame - 1.ª Época,Não,-,2023/01/11 11:30 - 14:30,,,0,72,-72
01720,Teorias em Média e Comunicação,B01 - MCCTI,Exame,Época Especial,Época especial - Trabalho individual,Não,-,2023/07/11 00:00 - 23:59,,,0,90,-90
00151,Perspectivas e Teorias das Emoções,0218 - MCE,Exame,1.ª Época,Exame - 1.ª Época,Não,-,2023/01/11 18:30 - 21:30,,,0,27,-27
03635,Seminário de Investigação em Business Analytics,0325 - MAG,Exame,2.ª Época,Exame - 2.ª Época,Não,-,2022/12/09 15:00 - 18:00,,,0,34,-34
03734,Análise de Dados Multivariada,"9189 - LIGE, 8366 - LIGE-PL",Exame,Época Especial,Exame - Época Especial,Não,-,2023/07/14 11:30 - 14:30,,Resolvido,0,115,-115
L0607,Controlo de Gestão,8029 - LFC,Exame,1.ª Época,Exame - 1.ª Época,Não,-,2023/01/16 11:30 - 14:30,,,0,34,-34
03441,Grandes Eventos e Gestão de Eventos,"0379 - TourDC, 027 - MGHT",Exame,1.ª Época,Exame - 1.ª Época,Não,-,2022/12/05 08:00 - 11:00,,,0,37,-37
03440,Enoturismo e Negócio do Vinho,"0379 - TourDC, 027 - MGHT",Exame,2.ª Época,Exame - 2.ª Época,Não,-,2023/01/11 08:00 - 11:00,,,0,32,-32
M8581,Contabilidade para Juristas,0239 - MDET,Exame,1.ª Época,Exame - 1.ª Época,Não,-,2023/01/18 18:30 - 21:30,,,0,59,-59
04279,Relato Integrado no Sector Público e Privado,0380 - CCG,Exame,1.ª Época,Exame - 1.ª Época,Não,-,2022/12/16 11:30 - 14:30,,,0,37,-37
M8585,Direito do Trabalho I,0239 - MDET,Exame,2.ª Época,Exame - 2.ª Época,Não,-,2023/01/26 18:30 - 21:30,,,0,56,-56
00750,Gestão da Inovação,064 - MGST,Exame,1.ª Época,Exame - 1.ª Época,Não,-,2022/12/13 08:00 - 11:00,,,0,45,-45
02021,Direito e Regulação do Ambiente,0116 - MEAS,Exame,1.ª Época,Exame - 1.ª Época,Não,-,2023/01/09 18:30 - 21:30,,,0,40,-40
M8065,Desigualdades Sociais Contemporâneas,"B34 - MES, B119 - MSS, B30 - MS",Exame,Época Especial,Entrega de Trabalho Época Especial MSS,Não,-,2023/07/10 00:00 - 23:59,,,0,214,-214
03631,Gestão de Bases de Dados,0325 - MAG,Exame,1.ª Época,Exame - 1.ª Época,Não,-,2022/12/15 15:00 - 18:00,,,0,42,-42
